==4012== NVPROF is profiling process 4012, command: ./managed_ordered_execution_sync 10 100
==4012== Profiling application: ./managed_ordered_execution_sync 10 100
==4012== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
100.000000,3.645350,1,3.645350,3.645350,3.645350,"kernelordered(int*, int)"

==4012== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"Tesla K40c (0)",6,1.589844MB,384.000000KB,2.000000MB,9.539062MB,1.555712ms,"Host To Device"
"Tesla K40c (0)",136,143.646484KB,4.000000KB,0.996094MB,19.078125MB,3.118464ms,"Device To Host"
Total CPU Page faults: 68

==4012== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,ms,ms,
56.508904,0.286360,1,0.286360,0.286360,0.286360,"cuDeviceTotalMem"
38.599157,0.195602,91,0.002149,0.000132,0.063941,"cuDeviceGetAttribute"
3.762985,0.019069,1,0.019069,0.019069,0.019069,"cuDeviceGetName"
0.901230,0.004567,3,0.001522,0.000182,0.003368,"cuDeviceGetCount"
0.227725,0.001154,3,0.000384,0.000225,0.000587,"cuDeviceGet"
